"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GCIAK: #SlothWeek starts this Friday -- are you ready to get your sloth on? See daily videos at http://t.co/Myc28G6Btx &amp; on @AnimalPlan…",FALSE,0,NA,2014-06-16 22:02:53,FALSE,NA,"478658998854369281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hjo4st8",1,TRUE,FALSE,NA,NA
"I think my greatest skill is my ability to memorize the layout of a tv remote so I can hit buttons without looking. @Sethrogen #slothweek",FALSE,0,NA,2014-06-16 20:03:38,FALSE,NA,"478628991369510913",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AhmedAbraham",0,FALSE,FALSE,NA,NA
"#SlothWeek starts this Friday -- are you ready to get your sloth on? See daily videos at http://t.co/Myc28G6Btx &amp; on @AnimalPlanet.",FALSE,0,NA,2014-06-16 19:04:26,FALSE,NA,"478614090751811584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GCIAK",1,FALSE,FALSE,NA,NA
"RT @Animalists: If you can't wait until #SlothWeek on June 20th maybe this clip of a newborn baby sloth yawning will hold you over http://t…",FALSE,0,NA,2014-06-16 19:00:12,FALSE,NA,"478613026652700673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jen_corbs",2,TRUE,FALSE,NA,NA
"Sloth Week starts on June 20th! Sloth yourself with a #SlothWeek Twibbon now. http://t.co/e1ZgJ8z9lv",FALSE,0,NA,2014-06-16 18:53:33,FALSE,NA,"478611354841280512",NA,"<a href=""http://twibbon.com"" rel=""nofollow"">Twibbon</a>","katedelmonico",0,FALSE,FALSE,NA,NA
"Just a friendly reminder that #slothweek is coming on Friday! I'm ready to get my sloth on. http://t.co/p88NXnP7ss",FALSE,0,NA,2014-06-16 17:56:50,FALSE,NA,"478597079468498944",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","nicholemagoon",0,FALSE,FALSE,NA,NA
"@ks_rosie ты, кстати, видела про грядущую неделю ленивцев? :) http://t.co/tuarWzyi67",FALSE,0,"ks_rosie",2014-06-16 15:39:42,FALSE,"478539316583727105","478562570333609984","77777159","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anny_sko",0,FALSE,FALSE,NA,NA
"Sloths get me. I get sloths.  #slothweek",FALSE,0,NA,2014-06-16 15:17:39,FALSE,NA,"478557018861490177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cyclokitty",0,FALSE,FALSE,NA,NA
"Sweet Jebus I love this promo!!! ""Sloth Week is Coming!"": http://t.co/CFveBXmFUa #SlothWeek",FALSE,0,NA,2014-06-16 13:42:25,FALSE,NA,"478533054630092800",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","gloomygrrl",0,FALSE,FALSE,NA,NA
"RT @slothville: Looking forward to #slothweek on Animal Planet. Lots of sloth action including my award-winning documentary MEET THE SLOTHS…",FALSE,0,NA,2014-06-16 03:43:24,FALSE,NA,"478382307728822272",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","JasminAyles",6,TRUE,FALSE,NA,NA
